time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019-07-05T22:05:10.410Z,35.6968333,-117.5106667,2.59,2.83,ml,27,143,0.117,0.28,ci,ci38455447,2019-07-05T22:09:05.227Z,"12km SW of Searles Valley, CA",earthquake,0.58,1.08,0.206,25,automatic,ci,ci
2019-07-05T22:02:18.830Z,35.59,-117.5638333,0.67,1.54,ml,13,124,0.08291,0.19,ci,ci38455431,2019-07-05T22:05:59.720Z,"11km ESE of Ridgecrest, CA",earthquake,0.41,0.67,0.114,16,automatic,ci,ci
2019-07-05T22:01:45.690Z,35.5933333,-117.5406667,6.66,1.85,ml,17,111,0.06432,0.24,ci,ci38455423,2019-07-05T22:05:24.719Z,"13km ESE of Ridgecrest, CA",earthquake,0.56,1.28,0.163,25,automatic,ci,ci
2019-07-05T21:59:42.750Z,35.5771667,-117.6263333,4.92,1.67,ml,18,72,0.1075,0.17,ci,ci38455407,2019-07-05T22:06:50.280Z,"7km SE of Ridgecrest, CA",earthquake,0.28,0.76,0.141,23,automatic,ci,ci
2019-07-05T21:59:28.640Z,35.6928333,-117.511,1.16,1.72,ml,27,121,0.1133,0.2,ci,ci38455399,2019-07-05T22:03:14.708Z,"13km SW of Searles Valley, CA",earthquake,0.33,0.57,0.182,25,automatic,ci,ci
2019-07-05T21:51:40.530Z,35.6641667,-117.5233333,2.34,2.46,ml,28,61,0.09212,0.14,ci,ci38455375,2019-07-05T22:06:03.779Z,"15km ENE of Ridgecrest, CA",earthquake,0.2,0.56,0.147,25,automatic,ci,ci
2019-07-05T21:49:05.620Z,35.688,-117.5118333,9.35,2.08,ml,28,70,0.1091,0.16,ci,ci38455359,2019-07-05T22:00:00.780Z,"13km SW of Searles Valley, CA",earthquake,0.24,0.7,0.159,27,automatic,ci,ci
2019-07-05T21:46:49.220Z,35.7231667,-117.549,1.83,1.63,ml,27,58,0.1004,0.18,ci,ci38455335,2019-07-05T21:50:35.567Z,"14km WSW of Searles Valley, CA",earthquake,0.26,0.5,0.151,25,automatic,ci,ci
2019-07-05T21:45:30.540Z,35.8103333,-117.6318333,4.47,1.69,ml,23,63,0.02841,0.18,ci,ci38455327,2019-07-05T21:49:15.538Z,"21km WNW of Searles Valley, CA",earthquake,0.26,0.47,0.178,27,automatic,ci,ci
2019-07-05T21:37:42.240Z,35.5691667,-117.6066667,7.28,1.59,ml,19,70,0.1086,0.18,ci,ci38455271,2019-07-05T21:41:35.502Z,"8km SE of Ridgecrest, CA",earthquake,0.32,1.52,0.171,26,automatic,ci,ci
2019-07-05T21:36:48.070Z,35.7105,-117.487,4.07,2.1,ml,27,64,0.1254,0.16,ci,ci38455263,2019-07-05T21:47:45.980Z,"10km SW of Searles Valley, CA",earthquake,0.25,0.79,0.164,26,automatic,ci,ci
2019-07-05T21:36:11.900Z,35.84,-117.6643333,2.45,2.26,ml,26,47,0.05945,0.16,ci,ci38455255,2019-07-05T21:47:14.960Z,"24km ESE of Little Lake, CA",earthquake,0.21,0.37,0.22,25,automatic,ci,ci
2019-07-05T21:34:47.920Z,35.7681667,-117.6641667,2.65,1.84,ml,22,66,0.07204,0.16,ci,ci38455239,2019-07-05T23:56:30.995Z,"16km N of Ridgecrest, CA",earthquake,0.2,0.3,0.17,35,reviewed,ci,ci
2019-07-05T21:33:58.770Z,35.742,-117.562,1.55,2.06,ml,29,57,0.07904,0.19,ci,ci38455231,2019-07-05T21:45:09.380Z,"14km W of Searles Valley, CA",earthquake,0.26,0.58,0.138,27,automatic,ci,ci
2019-07-05T21:30:26.100Z,35.6113333,-117.5923333,7.55,2.77,ml,35,45,0.1089,0.12,ci,ci38455199,2019-07-06T00:38:46.476Z,"8km E of Ridgecrest, CA",earthquake,0.16,0.81,0.279,25,automatic,ci,ci
2019-07-05T21:20:34.740Z,35.6766667,-117.5046667,3.82,1.78,ml,24,82,0.09639,0.15,ci,ci38455159,2019-07-05T21:24:18.517Z,"14km SW of Searles Valley, CA",earthquake,0.24,0.72,0.14,26,automatic,ci,ci
2019-07-05T21:19:02.570Z,35.5778333,-117.6143333,4.75,1.59,ml,19,90,0.1126,0.18,ci,ci38455151,2019-07-05T21:22:54.836Z,"7km SE of Ridgecrest, CA",earthquake,0.29,0.84,0.158,24,automatic,ci,ci
2019-07-05T21:18:17.180Z,35.7193333,-117.525,3.1,1.83,ml,18,141,0.1128,0.17,ci,ci38455143,2019-07-05T21:22:04.830Z,"12km WSW of Searles Valley, CA",earthquake,0.34,1.11,0.164,11,automatic,ci,ci
2019-07-05T21:17:31.180Z,35.717,-117.5246667,4.96,2.83,ml,33,61,0.115,0.15,ci,ci38455135,2019-07-05T21:28:48.910Z,"12km WSW of Searles Valley, CA",earthquake,0.22,0.81,0.144,25,automatic,ci,ci
2019-07-05T21:16:59.890Z,35.6305,-117.5983333,9.95,1.61,ml,23,67,0.1193,0.14,ci,ci38455127,2019-07-05T21:20:55.825Z,"7km E of Ridgecrest, CA",earthquake,0.23,0.67,0.115,27,automatic,ci,ci
2019-07-05T21:14:17.256Z,59.8842,-152.4003,90.8,1.7,ml,,,,0.3,ak,ak0198jyjown,2019-07-05T21:21:49.472Z,"34km WNW of Anchor Point, Alaska",earthquake,,0.6,,,automatic,ak,ak
2019-07-05T21:13:37.630Z,35.7436667,-117.551,6.78,2.82,ml,33,57,0.08126,0.16,ci,ci38455103,2019-07-05T21:24:41.860Z,"14km W of Searles Valley, CA",earthquake,0.22,0.66,0.16,25,automatic,ci,ci
2019-07-05T21:12:42.350Z,35.5728333,-117.6123333,5.53,2.1,ml,29,43,0.1091,0.12,ci,ci38455095,2019-07-05T21:23:37.650Z,"8km SE of Ridgecrest, CA",earthquake,0.17,0.95,0.127,26,automatic,ci,ci
2019-07-05T21:10:52.460Z,35.6783333,-117.5045,2.7,1.86,ml,21,142,0.0979,0.16,ci,ci38455087,2019-07-05T21:14:39.334Z,"13km SW of Searles Valley, CA",earthquake,0.34,0.62,0.166,27,automatic,ci,ci
2019-07-05T21:10:22.380Z,35.7128333,-117.4661667,0.56,1.51,ml,17,112,0.1261,0.14,ci,ci38455079,2019-07-05T21:14:04.984Z,"8km SW of Searles Valley, CA",earthquake,0.33,0.55,0.173,24,automatic,ci,ci
2019-07-05T21:09:46.580Z,35.739,-117.5416667,8.64,1.5,ml,16,138,0.08903,0.3,ci,ci38455071,2019-07-05T21:13:33.814Z,"13km WSW of Searles Valley, CA",earthquake,0.75,1.95,0.272,15,automatic,ci,ci
2019-07-05T21:05:50.790Z,35.6601667,-117.5121667,0.57,2.28,ml,16,100,0.08403,0.21,ci,ci38455047,2019-07-05T21:09:48.304Z,"15km ENE of Ridgecrest, CA",earthquake,0.37,0.63,0.125,30,automatic,ci,ci
2019-07-05T21:05:32.360Z,35.5711667,-117.6133333,4.98,2.24,ml,27,43,0.1073,0.13,ci,ci38455039,2019-07-05T21:16:28.060Z,"8km SE of Ridgecrest, CA",earthquake,0.19,0.62,0.144,26,automatic,ci,ci
2019-07-05T21:04:09.160Z,35.7461667,-117.581,2.8,1.92,ml,25,65,0.07071,0.2,ci,ci38455031,2019-07-05T21:07:54.959Z,"16km W of Searles Valley, CA",earthquake,0.31,0.77,0.131,26,automatic,ci,ci
2019-07-05T21:01:41.110Z,35.6621667,-117.514,1.17,1.62,ml,21,99,0.0865,0.19,ci,ci38455007,2019-07-05T21:05:17.245Z,"15km ENE of Ridgecrest, CA",earthquake,0.31,0.56,0.151,25,automatic,ci,ci
2019-07-05T21:00:06.980Z,35.7361667,-117.5405,1.4,2.38,ml,27,58,0.09195,0.17,ci,ci38454999,2019-07-05T23:04:24.419Z,"13km WSW of Searles Valley, CA",earthquake,0.23,0.51,0.122,25,automatic,ci,ci
2019-07-05T20:59:33.010Z,35.6608333,-117.5276667,4.89,1.67,ml,20,95,0.09136,0.12,ci,ci38454991,2019-07-05T21:03:39.703Z,"14km ENE of Ridgecrest, CA",earthquake,0.22,0.61,0.176,26,automatic,ci,ci
2019-07-05T20:56:55.720Z,35.8636667,-117.6331667,14.43,1.53,ml,11,99,0.05592,0.33,ci,ci38454975,2019-07-05T21:00:46.698Z,"23km WNW of Searles Valley, CA",earthquake,1.08,1.67,0.146,15,automatic,ci,ci
2019-07-05T20:56:40.440Z,35.5726667,-117.6178333,4.57,1.72,ml,24,57,0.1067,0.19,ci,ci38454967,2019-07-05T21:07:33.630Z,"8km SE of Ridgecrest, CA",earthquake,0.28,0.86,0.13,26,automatic,ci,ci
2019-07-05T20:56:00.094Z,62.9121,-150.7053,104.9,2.7,ml,,,,0.46,ak,ak0198jy74xj,2019-07-05T21:05:45.076Z,"72km NNW of Talkeetna, Alaska",earthquake,,0.5,,,automatic,ak,ak
2019-07-05T20:55:48.170Z,37.5403328,-118.4576645,9.14,1.66,md,13,109,0.01374,0.05,nc,nc73208116,2019-07-05T21:52:03.646Z,"18km NNW of Dixon Lane-Meadow Creek, CA",earthquake,0.42,0.99,0.17,12,automatic,nc,nc
